,IdEmployee,EmployeeNumber,Age,DateBirth,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,RemoteWork
22,22,"373,0",37,1987,No,no-data,1403.0,6,3,Life Sciences,4,Male,47.0,3,1, Laboratory Technician ,4,Married,20251.0,0,no-data,11,3,3,1,"16,0",4,3,15,10,11,True
23,23,"729,0",41,1983,No,travel_frequently,580.0,5,4,no-data,4,Male,48.0,2,3, Sales Executive ,1,Married,23772.0,5,Yes,21,4,3,1,"20,0",2,3,18,1,12,False
24,24,"830,0",33,1991,No,travel_rarely,859.0,4,3,no-data,3,Female,98.0,2,2, Manufacturing Director ,3,Married,19124.0,1,No,12,3,3,1,"14,0",3,3,14,6,8,False
25,25,"981,0",54,1970,No,no-data,1376.0,2,2,Medical,3,Male,88.0,3,4, Manager ,3,Divorced,13938.0,6,No,13,3,3,1,"22,0",3,4,17,15,2,False
26,26,"1042,0",37,1987,Yes,travel_rarely,885.0,16,4,no-data,3,Female,43.0,4,1, Laboratory Technician ,1,Single,8269.0,1,no-data,16,3,3,0,"18,0",1,3,17,15,14,True
27,27,"1080,0",47,1977,No,no-data,1003.0,8,4,Life Sciences,4,Female,74.0,2,2, Research Scientist ,1,Divorced,21029.0,8,Yes,23,4,1,3,no-data,2,3,16,1,7,False
28,28,"1995,0",39,1985,No,travel_rarely,1321.0,1,4,no-data,4,Male,86.0,3,2, Sales Executive ,2,Married,7636.0,0,No,15,3,1,2,"16,0",3,3,15,5,8,True
29,29,"145,0",52,1972,No,no-data,147.0,1,4,no-data,1,Female,30.0,2,3, Healthcare Representative ,1,Single,25796.0,3,no-data,20,4,3,0,"23,0",1,2,13,12,8,True
30,30,"158,0",44,1980,No,no-data,394.0,26,2,no-data,3,Male,92.0,3,4, Manager ,4,Married,19494.0,1,Yes,12,3,4,2,"25,0",3,4,25,4,12,True
31,31,"391,0",38,1986,No,no-data,1372.0,1,3,Life Sciences,4,Female,42.0,3,1, Research Scientist ,4,Single,15881.0,1,No,12,3,2,0,no-data,3,3,17,5,7,True
32,32,"436,0",33,1991,No,travel_rarely,589.0,8,2,Technical Degree,3,Female,65.0,2,2, Sales Executive ,2,Married,24624.0,1,Yes,11,3,4,0,no-data,2,3,13,11,9,True
33,33,"1527,0",47,1977,No,no-data,228.0,3,3,Life Sciences,3,Female,51.0,3,4, Manager ,2,no-data,11380.0,8,No,12,3,4,1,"23,0",2,4,13,5,1,True
34,34,"1866,0",44,1980,No,no-data,823.0,6,3,Medical,1,Female,81.0,2,5, Manager ,3,Married,22539.0,7,No,13,3,4,0,"21,0",2,3,16,6,14,True
35,35,"2026,0",57,1967,No,non-travel,667.0,1,4,Life Sciences,3,Male,57.0,3,2, Healthcare Representative ,3,Divorced,26236.0,1,No,21,3,1,1,no-data,2,2,13,1,9,True
36,36,"107,0",39,1985,No,no-data,573.0,6,3,Medical,2,Female,79.0,1,2, Research Scientist ,4,no-data,15717.0,7,no-data,12,3,4,3,"17,0",3,3,13,1,9,True
37,37,"170,0",50,1974,No,no-data,556.0,26,4,Medical,3,Female,96.0,3,2, Manufacturing Director ,1,no-data,5549.0,1,No,14,3,3,0,"16,0",2,2,15,5,11,False
38,38,"215,0",41,1983,No,no-data,630.0,4,4,no-data,3,Male,67.0,2,3, Sales Executive ,4,Married,8552.0,7,No,11,3,1,1,"15,0",2,2,12,2,11,True
39,39,"304,0",37,1987,No,no-data,111.0,5,2,no-data,4,Male,62.0,3,2, Laboratory Technician ,2,Single,9945.0,8,No,16,3,4,0,"16,0",3,4,13,3,7,True
40,40,"529,0",38,1986,No,no-data,1063.0,25,5,no-data,2,Female,72.0,3,2, Research Scientist ,3,Married,23866.0,3,Yes,15,3,1,2,"15,0",2,3,13,10,7,False
41,41,"691,0",36,1988,No,no-data,1017.0,6,4,no-data,2,Male,82.0,1,2, Research Scientist ,4,no-data,19368.0,1,no-data,13,3,2,0,no-data,3,3,17,11,8,True
42,42,"692,0",34,1990,No,travel_frequently,1296.0,6,3,Life Sciences,3,Male,80.0,3,2, Healthcare Representative ,4,Divorced,5335.0,3,No,23,4,3,1,"15,0",2,1,13,4,7,False
43,43,"1005,0",51,1973,No,travel_rarely,939.0,24,3,no-data,4,Male,60.0,3,4, Manufacturing Director ,3,Married,4161.0,3,Yes,18,3,4,1,"22,0",2,3,12,1,5,False
44,44,"1024,0",49,1975,No,travel_rarely,1355.0,4,4,no-data,3,Male,78.0,2,3, Healthcare Representative ,3,Single,22245.0,7,no-data,14,3,2,0,"27,0",3,3,15,4,8,True
45,45,"1039,0",45,1979,No,travel_rarely,1448.0,28,3,no-data,4,Female,53.0,4,4, Sales Executive ,4,Married,11737.0,3,no-data,18,3,3,1,no-data,2,3,12,11,11,True
46,46,"1225,0",45,1979,No,travel_rarely,200.0,29,4,no-data,4,Male,32.0,3,2, Research Scientist ,4,Single,7744.0,1,no-data,25,4,2,0,no-data,3,3,20,13,17,True
47,47,"1375,0",41,1983,No,no-data,1202.0,25,1,no-data,2,Female,89.0,4,2, Healthcare Representative ,3,no-data,13888.0,5,No,20,4,2,3,"15,0",0,3,12,11,8,True
48,48,"1661,0",50,1974,No,no-data,465.0,6,1,Life Sciences,3,Female,41.0,2,4, Healthcare Representative ,3,no-data,11652.0,2,no-data,19,3,2,1,no-data,3,3,15,2,12,True
49,49,"1668,0",39,1985,No,travel_frequently,1189.0,1,3,Life Sciences,4,Male,90.0,3,2, Research Scientist ,4,no-data,9867.0,7,No,15,3,4,2,"19,0",4,3,13,2,9,True
50,50,"1698,0",34,1990,No,no-data,329.0,21,3,no-data,2,Male,79.0,4,1, Laboratory Technician ,2,no-data,13637.0,1,No,18,3,4,3,"14,0",6,3,14,2,13,True
51,51,"1937,0",39,1985,No,no-data,1394.0,8,3,no-data,4,Female,58.0,2,2, Research Scientist ,2,Divorced,18115.0,1,no-data,16,3,3,1,"20,0",3,3,20,0,7,False
52,52,"2017,0",38,1986,No,travel_rarely,161.0,10,3,Life Sciences,3,Female,42.0,4,3, Research Director ,4,no-data,15471.0,1,Yes,25,4,1,1,"16,0",2,3,16,6,8,True
53,53,"117,0",31,1993,No,no-data,288.0,2,3,no-data,3,Male,99.0,2,2, Healthcare Representative ,4,Married,15830.0,1,No,19,3,1,3,"11,0",3,3,11,10,8,True
54,54,"131,0",59,1965,No,travel_rarely,682.0,18,4,no-data,4,Male,37.0,3,4, Sales Executive ,3,Single,24409.0,0,no-data,13,3,3,0,"38,0",1,2,37,1,8,True
55,55,"153,0",35,1989,No,travel_rarely,1354.0,5,3,no-data,3,Female,45.0,2,3, Manager ,1,Single,5615.0,2,no-data,12,3,4,0,"14,0",6,3,11,5,8,False
56,56,"307,0",39,1985,No,no-data,119.0,3,3,Life Sciences,1,Male,76.0,3,3, Sales Executive ,3,Divorced,9647.0,0,no-data,12,3,3,2,no-data,6,2,16,5,13,True
57,57,"374,0",56,1968,No,travel_rarely,452.0,1,3,Medical,4,Male,81.0,3,5, Manager ,1,Single,18938.0,0,no-data,14,3,3,0,"37,0",2,3,36,4,13,True
58,58,"524,0",32,1992,No,no-data,480.0,30,2,no-data,2,Female,31.0,3,2, Manufacturing Director ,1,Married,4156.0,1,No,12,3,2,1,"13,0",5,1,13,3,12,True
59,59,"569,0",51,1973,No,travel_rarely,1099.0,27,4,Life Sciences,2,Male,88.0,2,4, Manager ,3,Married,9314.0,0,No,15,3,2,1,"28,0",2,3,27,15,7,True
60,60,"899,0",36,1988,No,no-data,672.0,25,3,Technical Degree,4,Male,78.0,2,3, Manufacturing Director ,2,Married,9129.0,3,No,16,3,1,0,no-data,2,3,13,4,8,False
61,61,"1014,0",36,1988,No,no-data,583.0,25,4,no-data,3,Female,57.0,3,3, Healthcare Representative ,3,Divorced,6975.0,1,Yes,11,3,3,1,no-data,3,2,16,10,1,True
62,62,"1117,0",46,1978,No,no-data,1050.0,9,4,Life Sciences,2,Female,65.0,2,2, Sales Executive ,3,Married,17970.0,1,no-data,13,3,4,1,"15,0",2,3,15,4,12,False
63,63,"1238,0",34,1990,No,no-data,117.0,9,3,Medical,1,Male,60.0,3,1, Research Scientist ,4,Married,6311.0,0,no-data,13,3,2,1,"15,0",5,3,14,4,10,False
64,64,"1277,0",46,1978,Yes,no-data,718.0,13,3,Marketing,1,Female,94.0,1,5, Manager ,2,no-data,2493.0,2,Yes,16,3,1,0,"26,0",2,3,24,1,11,True
65,65,"1541,0",35,1989,No,travel_rarely,1440.0,7,2,Technical Degree,2,Male,55.0,3,1, Sales Representative ,3,no-data,4944.0,0,Yes,25,4,2,1,"12,0",4,3,11,5,7,False
66,66,"1666,0",44,1980,No,travel_rarely,1291.0,15,2,no-data,3,Male,65.0,2,4, Research Director ,3,no-data,3525.0,1,No,24,4,1,1,no-data,3,3,14,6,11,True
67,67,"1696,0",35,1989,No,no-data,1157.0,5,2,Medical,2,Male,57.0,2,2, Laboratory Technician ,4,no-data,11912.0,1,No,14,3,3,1,no-data,3,3,15,4,13,False
68,68,"1805,0",39,1985,No,no-data,1336.0,2,3,no-data,1,Male,100.0,3,1, Human Resources ,2,Divorced,7129.0,5,No,13,3,4,3,"13,0",3,3,11,3,8,True
69,69,"1932,0",35,1989,No,no-data,735.0,22,4,Other,3,Male,86.0,2,2, Research Scientist ,4,Married,26496.0,1,Yes,15,3,2,0,"16,0",3,3,15,6,11,False
70,70,"2016,0",33,1991,No,travel_rarely,541.0,31,4,no-data,3,Female,48.0,3,3, Sales Executive ,4,no-data,24032.0,1,No,19,3,3,2,"14,0",3,3,14,5,7,True
71,71,"20,0",30,1994,No,travel_rarely,1389.0,21,4,Life Sciences,2,Female,51.0,4,3, Manufacturing Director ,1,Divorced,10195.0,1,No,11,3,3,1,"10,0",1,3,10,8,8,False
72,72,"184,0",31,1993,No,no-data,1240.0,9,3,no-data,3,Male,48.0,3,2, Human Resources ,4,Married,13982.0,0,Yes,19,3,4,0,no-data,2,1,11,4,7,False
73,73,"206,0",46,1978,No,no-data,194.0,9,3,Life Sciences,2,Male,60.0,3,2, Laboratory Technician ,2,no-data,10901.0,8,No,18,3,3,1,"20,0",2,3,17,0,15,True
74,74,"228,0",31,1993,No,travel_rarely,1339.0,5,3,no-data,2,Female,41.0,3,3, Sales Executive ,4,no-data,8053.0,2,No,12,3,3,1,no-data,2,3,10,7,4,True
75,75,"239,0",31,1993,No,no-data,111.0,9,3,no-data,3,Male,66.0,3,2, Laboratory Technician ,1,no-data,11012.0,1,No,11,3,3,2,"12,0",4,3,12,6,10,True
76,76,"256,0",35,1989,No,travel_frequently,556.0,29,1,no-data,4,Male,45.0,2,2, Manufacturing Director ,3,Married,14074.0,1,no-data,17,3,3,0,"10,0",2,2,10,1,9,False
77,77,"339,0",35,1989,No,no-data,470.0,39,4,Life Sciences,3,Male,84.0,2,2, Manufacturing Director ,1,no-data,23687.0,6,no-data,13,3,2,1,"13,0",3,3,11,5,9,True
78,78,"406,0",36,1988,No,travel_rarely,1232.0,16,3,no-data,3,Male,96.0,3,3, Sales Executive ,2,Married,5100.0,0,no-data,15,3,3,2,"12,0",3,2,11,6,9,True
79,79,"429,0",40,1984,No,no-data,117.0,10,1,no-data,3,Male,99.0,3,4, Manager ,1,Married,5355.0,1,no-data,14,3,4,0,"21,0",3,3,21,11,10,True
80,80,"444,0",40,1984,No,no-data,672.0,7,2,no-data,3,Male,54.0,2,5, Manager ,4,Married,21141.0,1,no-data,15,3,1,1,no-data,2,3,21,13,3,True
81,81,"452,0",46,1978,No,travel_rarely,549.0,8,4,no-data,4,Male,75.0,3,2, Research Scientist ,4,no-data,9278.0,9,No,14,3,1,2,"12,0",3,3,10,9,8,True
82,82,"456,0",31,1993,No,travel_rarely,570.0,5,3,Marketing,4,Female,30.0,2,2, Sales Executive ,3,no-data,5431.0,1,no-data,13,3,3,3,"10,0",2,3,10,1,2,True
83,83,"481,0",37,1987,No,no-data,541.0,3,4,Medical,1,Male,48.0,2,3, Sales Executive ,4,Married,7246.0,4,No,11,3,1,1,"16,0",2,3,13,1,12,True
84,84,"513,0",37,1987,No,travel_rarely,164.0,2,2,no-data,2,Male,61.0,2,3, Sales Executive ,3,Married,3809.0,1,no-data,13,3,2,2,"10,0",2,3,10,9,0,True
85,85,"597,0",56,1968,No,travel_rarely,1117.0,18,5,no-data,1,Female,83.0,3,4, Manager ,2,Single,9873.0,3,No,23,4,4,0,"37,0",2,3,10,7,7,True
86,86,"600,0",36,1988,No,no-data,619.0,1,3,no-data,2,Male,85.0,3,2, Sales Executive ,3,no-data,18659.0,9,no-data,11,3,3,0,"15,0",2,3,11,6,9,True
87,87,"630,0",53,1971,No,travel_rarely,956.0,6,2,no-data,4,Male,78.0,3,2, Research Scientist ,1,Divorced,22087.0,3,Yes,12,3,2,2,"18,0",3,3,10,6,9,True
88,88,"638,0",50,1974,No,no-data,1245.0,18,4,Life Sciences,4,Male,58.0,2,5, Research Director ,3,no-data,2125.0,1,Yes,17,3,3,1,no-data,5,3,31,0,9,True
89,89,"683,0",35,1989,No,travel_rarely,1397.0,1,5,no-data,2,Male,42.0,3,1, Research Scientist ,4,Married,7660.0,1,No,12,3,4,1,no-data,4,2,10,8,8,True
90,90,"780,0",34,1990,Yes,travel_rarely,527.0,1,4,Other,4,Male,63.0,3,1, Research Scientist ,4,Single,5207.0,1,no-data,13,3,3,0,"10,0",2,2,10,7,8,False
91,91,"817,0",34,1990,No,no-data,213.0,7,3,Medical,3,Male,49.0,3,3, Research Director ,3,Married,25995.0,0,No,11,3,4,0,no-data,3,4,13,3,7,True
92,92,"901,0",54,1970,No,travel_rarely,982.0,23,4,no-data,4,Female,72.0,3,4, Research Director ,4,no-data,20206.0,6,No,18,3,3,0,"33,0",0,3,12,3,8,True
93,93,"944,0",50,1974,No,travel_rarely,527.0,8,2,Other,1,Female,51.0,3,3, Laboratory Technician ,2,Married,22477.0,4,no-data,11,3,3,1,"29,0",3,2,26,1,7,False
94,94,"984,0",36,1988,No,no-data,882.0,21,4,no-data,2,Male,32.0,3,3, Sales Executive ,4,no-data,6812.0,6,no-data,13,3,2,1,no-data,2,3,10,0,8,False
95,95,"1088,0",39,1985,No,travel_rarely,330.0,17,1,Life Sciences,3,Female,65.0,2,3, Healthcare Representative ,3,Married,24608.0,0,no-data,18,3,1,1,"20,0",4,2,19,1,9,False
96,96,"1124,0",47,1977,No,no-data,406.0,3,1,Marketing,1,Male,88.0,3,4, Manager ,3,Married,15596.0,3,No,12,3,4,1,no-data,3,3,12,4,9,False
97,97,"1167,0",43,1981,Yes,travel_frequently,481.0,15,3,Life Sciences,1,Male,44.0,3,4, Sales Executive ,1,Single,2447.0,0,no-data,12,3,2,0,no-data,2,2,21,13,14,True
98,98,"1184,0",35,1989,No,travel_frequently,669.0,1,3,no-data,4,Male,97.0,2,2, Healthcare Representative ,1,Single,25755.0,0,No,20,4,3,0,"14,0",3,3,13,4,9,True
99,99,"1252,0",32,1992,No,travel_rarely,1062.0,24,3,Medical,3,Female,96.0,2,2, Healthcare Representative ,1,Single,17198.0,1,No,19,3,2,0,"10,0",2,3,10,1,8,False
100,100,"1267,0",45,1979,No,no-data,1099.0,5,3,no-data,2,Male,88.0,3,5, Manager ,2,Married,8751.0,7,No,11,3,3,1,"26,0",5,3,22,3,10,True
101,101,"1278,0",56,1968,No,non-travel,177.0,8,1,no-data,4,Male,37.0,2,4, Healthcare Representative ,2,Divorced,25592.0,1,Yes,15,3,4,1,no-data,3,3,33,15,0,False
102,102,"1288,0",45,1979,No,travel_rarely,1199.0,4,2,Life Sciences,3,Male,92.0,4,5, Manager ,1,Divorced,17477.0,1,No,14,3,4,2,no-data,4,2,25,14,13,False
103,103,"1307,0",40,1984,No,no-data,412.0,13,4,no-data,3,Female,94.0,2,4, Manager ,2,Divorced,17334.0,6,Yes,13,3,4,2,no-data,4,3,19,15,2,False
104,104,"1336,0",56,1968,No,travel_rarely,282.0,2,2,Medical,4,Female,58.0,1,5, Manager ,3,no-data,6992.0,4,no-data,14,3,4,1,"23,0",5,3,19,9,11,True
105,105,"1352,0",52,1972,No,no-data,770.0,5,3,Life Sciences,3,Male,84.0,3,4, Manager ,2,no-data,17588.0,1,no-data,11,3,2,1,no-data,2,3,33,0,10,True
106,106,"1360,0",59,1965,Yes,no-data,601.0,14,4,Medical,1,Female,53.0,2,3, Manufacturing Director ,1,Married,12023.0,7,no-data,14,3,4,0,no-data,0,2,10,5,9,True
107,107,"1419,0",30,1994,No,travel_rarely,332.0,17,3,no-data,2,Male,51.0,2,3, Human Resources ,1,Single,9769.0,1,no-data,13,3,1,0,no-data,3,2,10,0,9,False
108,108,"1478,0",35,1989,No,no-data,1326.0,3,3,Other,4,Male,81.0,1,2, Sales Executive ,1,Single,15891.0,3,No,18,3,4,0,"15,0",2,3,13,3,12,True
109,109,"1480,0",43,1981,No,travel_frequently,748.0,9,2,no-data,1,Female,74.0,3,1, Laboratory Technician ,4,no-data,16458.0,1,no-data,13,3,3,0,"12,0",3,3,12,5,8,True
110,110,"1489,0",35,1989,Yes,travel_rarely,790.0,24,4,no-data,1,Female,40.0,2,2, Sales Executive ,2,Single,7815.0,0,Yes,23,4,3,0,"16,0",2,4,15,10,10,False
111,111,"1520,0",55,1969,No,travel_frequently,1050.0,11,4,Medical,2,Female,87.0,3,4, Manager ,4,no-data,24456.0,3,No,20,3,1,1,"26,0",2,3,14,1,12,True
112,112,"1535,0",35,1989,No,travel_rarely,971.0,1,3,no-data,4,Male,64.0,2,3, Sales Executive ,3,no-data,12288.0,1,no-data,14,3,4,0,no-data,3,3,10,8,6,False
113,113,"1586,0",30,1994,No,no-data,1370.0,3,1,Medical,2,Male,87.0,3,1, Laboratory Technician ,1,Single,16213.0,1,no-data,18,3,4,0,no-data,3,3,10,1,5,True
114,114,"1596,0",36,1988,No,travel_rarely,750.0,28,3,Life Sciences,2,Male,46.0,4,2, Laboratory Technician ,3,no-data,25348.0,1,no-data,17,3,4,2,no-data,3,2,10,6,8,True
115,115,"1667,0",36,1988,Yes,no-data,880.0,12,4,Other,4,Male,36.0,3,2, Sales Executive ,4,no-data,10414.0,3,no-data,24,4,1,0,"13,0",2,4,11,6,7,True
116,116,"1701,0",35,1989,No,travel_rarely,678.0,19,3,Life Sciences,2,Female,35.0,2,1, Research Scientist ,4,Married,20338.0,1,No,12,3,2,0,"10,0",3,3,10,8,7,True
117,117,"1706,0",44,1980,No,no-data,1179.0,2,3,no-data,4,Male,73.0,3,2, Sales Executive ,4,no-data,6069.0,1,Yes,17,3,1,1,"10,0",3,3,10,8,8,False
118,118,"1971,0",44,1980,No,travel_rarely,574.0,11,3,Life Sciences,1,Male,30.0,3,3, Healthcare Representative ,3,Married,16873.0,1,no-data,17,3,2,1,"10,0",1,3,10,0,9,True
119,119,"1976,0",43,1981,No,no-data,1018.0,23,2,no-data,4,Male,37.0,2,2, Research Scientist ,3,Single,14811.0,1,no-data,12,3,4,0,"20,0",2,3,20,3,7,True
120,120,"1985,0",41,1983,No,no-data,692.0,11,3,Technical Degree,4,Female,73.0,3,2, Laboratory Technician ,3,Married,26849.0,1,no-data,11,3,1,1,"10,0",2,4,10,9,4,True
121,121,"2032,0",57,1967,Yes,no-data,310.0,7,2,Technical Degree,4,Male,72.0,3,1, Laboratory Technician ,3,Married,3666.0,8,No,11,3,4,1,"14,0",4,1,10,9,8,True
122,122,"2056,0",40,1984,No,travel_rarely,722.0,33,1,Marketing,3,Female,60.0,2,4, Sales Executive ,4,no-data,8828.0,0,no-data,11,3,1,1,no-data,2,2,20,9,6,True
123,123,"57,0",31,1993,No,travel_frequently,721.0,1,2,no-data,3,Female,58.0,3,2, Laboratory Technician ,4,no-data,10781.0,1,no-data,23,4,4,0,"12,0",2,3,12,3,7,True
124,124,"78,0",33,1991,No,travel_rarely,427.0,1,3,Medical,1,Male,32.0,3,2, Manufacturing Director ,4,Married,10877.0,1,Yes,22,4,2,1,"9,0",3,3,9,7,8,True
125,125,"104,0",31,1993,No,travel_rarely,852.0,1,1,Life Sciences,4,Male,55.0,2,2, Laboratory Technician ,4,Married,15998.0,1,no-data,12,3,3,2,no-data,1,3,10,3,0,False
126,126,"118,0",47,1977,Yes,no-data,669.0,9,2,Medical,3,Male,64.0,2,3, Sales Executive ,4,no-data,13596.0,1,No,16,3,4,0,"9,0",3,3,9,4,7,False
127,127,"121,0",31,1993,No,travel_rarely,1334.0,4,2,no-data,3,Female,63.0,2,2, Sales Executive ,2,no-data,19760.0,1,Yes,12,3,2,3,"11,0",4,2,11,2,7,False
128,128,"125,0",33,1991,No,no-data,1093.0,6,4,no-data,2,Male,87.0,3,2, Sales Executive ,3,Single,24301.0,1,No,16,3,1,0,"12,0",0,3,11,5,7,True
129,129,"207,0",33,1991,No,no-data,967.0,8,3,Marketing,2,Female,43.0,3,3, Sales Executive ,4,Single,15589.0,1,no-data,14,3,4,0,"9,0",2,3,9,3,7,True
130,130,"227,0",42,1982,No,travel_rarely,465.0,34,3,Life Sciences,1,Male,56.0,3,1, Research Scientist ,3,Divorced,4609.0,4,No,12,3,1,1,no-data,2,3,9,1,8,True
131,131,"253,0",41,1983,No,travel_rarely,989.0,4,1,Medical,4,Female,46.0,3,5, Manager ,3,no-data,6499.0,1,No,14,3,2,1,"21,0",2,3,20,9,9,False
132,132,"264,0",46,1978,No,no-data,1195.0,2,2,no-data,1,Male,65.0,2,4, Manager ,4,Married,20462.0,9,No,23,4,4,1,"22,0",1,3,20,11,8,True
133,133,"291,0",33,1991,Yes,travel_rarely,1045.0,4,4,no-data,4,Male,32.0,1,3, Sales Executive ,4,Married,25812.0,1,No,11,3,3,0,"14,0",2,2,14,9,8,False
134,134,"292,0",31,1993,No,non-travel,829.0,1,1,Life Sciences,3,Male,88.0,2,3, Manufacturing Director ,3,no-data,20925.0,1,No,22,4,3,0,no-data,2,3,11,5,8,True
135,135,"306,0",38,1986,No,no-data,663.0,11,3,no-data,2,Male,47.0,3,3, Research Director ,4,no-data,10056.0,1,no-data,14,3,3,3,no-data,1,3,10,0,7,True
136,136,"335,0",41,1983,No,no-data,1300.0,24,2,Technical Degree,1,Male,62.0,3,2, Research Scientist ,4,no-data,24447.0,1,No,17,3,1,2,no-data,3,3,9,4,7,False
137,137,"420,0",33,1991,No,travel_rarely,906.0,7,3,Life Sciences,4,Male,91.0,2,2, Sales Executive ,3,Married,16985.0,1,no-data,14,3,3,1,"13,0",3,2,13,4,8,True
138,138,"421,0",39,1985,No,no-data,849.0,25,2,Life Sciences,1,Female,81.0,2,3, Research Director ,2,no-data,26707.0,3,no-data,17,3,3,1,no-data,2,3,10,0,1,True
